CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
B925,Þafak Sk Kocasinan Kayseri,Ýstasyon Mh. 13/23 Kaldýrým CaddesiN:13/23N:13/23,Kayseri,KOCASINAN,38.734596,35.478333,Magaza
A2412,Erciyesevleri Kocasinan Kayseri,Erciyesevleri Mah. Billur Cad. ,Kayseri,KOCASINAN,38.7347,35.5182,Magaza
A4356,Þirintepe Kayseri ,Þirintepe mah. Þehit Suat Hayri Dal ,Kayseri,MELIKGAZI,38.734707,35.577641,Magaza
A4615,Hürriyet Muþ,Minare Mh. Atatürk CaddesiN:15N:N:N:N:15,Mus,MERKEZ,38.734916,41.488791,Magaza
D905,Kalemuþ Merkez Muþ,Kale Mh. 1 127. SokakN:1N:N:N:N:1,Mus,MERKEZ,38.734917,41.488792,Magaza
H691,Kader Sokak Saruhanlý Manisa,Atatürk Mh. Önal Sokak No:4/AN:4/B,Manisa,SARUHANLI,38.734959,27.574633,Magaza
A8428,Kanlýca Afyonkarahisar,Kanlýca Mh. 253. Sk. (101. Sk.),Afyonkarahisar,MERKEZ,38.734975,30.554586,Magaza
H935,Balýkçý Sok Saruhanlý Manisa,Cengiz Topel Mh. Atatürk Caddesi No:28/A,Manisa,SARUHANLI,38.735244,27.565488,Magaza
A3154,Yeni Ortaköy Aksaray,Ýstiklal Mah. Aksaray Cad. No:1 N:1N:1N:1,Aksaray,ORTAKÖY,38.735285,34.038229,Magaza
C101,Billur Cad Kocasinan Kayseri,Erciyesevler Mh. 15 30 Aðustos Bulvarý,Kayseri,KOCASINAN,38.735473,35.522382,Magaza
I868,Karadeniz Kocasinan Kayseri,Yavuzlar Mh. Karadeniz Caddesi No:109/1-AN:109/A,Kayseri,KOCASINAN,38.73554,35.451527,Magaza
A4485,Saruhanlý   MANÝSA,Saruhanlý Mah.Eþref Ozan Sok. N:3/AN:3/A,Manisa,SARUHANLI,38.73562,27.570447,Magaza
A5434,Doðanyurt Melikgazi  Kayseri,Esentepe Mah.Doðanyurt cad. No:18-39-40N:19/AN:19/AN:19/AN:1N:19/A,Kayseri,MELIKGAZI,38.735793,35.410148,Magaza
A6914,Uðurevler Kayseri,Uðurevler Mah. 18.Cad. 233.Sok. Furkan Sit. No 46/AN:46N:46/A,Kayseri,KOCASINAN,38.736136,35.525228,Magaza
F851,Balcýyolu Ortaköy Aksaray,Esentepe Mh. Bercekliburun Caddesi No:67N:1N:N:1,Aksaray,ORTAKÖY,38.736211,34.047957,Magaza
C521,Adliye Kocasinan Kayseri,Sümer Mh. 15/A Barýþ Manço Caddesi,Kayseri,KOCASINAN,38.736611,35.482288,Magaza
A3619,Kocatepe Melikgazi Kayseri ,Kocatepe Mahallesi Eren Yýldýrým N:46/AN:46/AN:46/AN:46/AN:46/AN:N:46/A,Kayseri,MELIKGAZI,38.736615,35.39682,Magaza
A9540,Oruç Reis Caddesi Foça Ýzmir,Mustafa Kemal Atatürk Mh. Oruç Reis Cd.,Izmir,FOÇA,38.736647,26.834018,Magaza
A5148,Esentepe Merkez Afyon,Mareþal Fevzi Çakmak Mh. Þair Ali Türk Keskin CaddesiN:1NN:,Afyonkarahisar,MERKEZ,38.736649,30.55785,Magaza
A5085,Kocatepe Afyonkarahisar,Ýstiklal Mah. Zübeyde Haným Cad. N:1N:N:,Afyonkarahisar,MERKEZ,38.736654,30.557843,Magaza
A9514,Þehitler Banaz Uþak,Þehitler Mh. Adnan Menderes Cd.,Usak,BANAZ,38.736687,29.758117,Magaza
C285,Yeþildemet Sk Kocasinan Kayseri,Barbaros Mh. 82/A-BN:82/A-BN:82/A-BN:82/A-BN:82/A-B,Kayseri,KOCASINAN,38.736751,35.463868,Magaza
F272,Ahmet Gazi Ayhan Melikgazi Kayseri,Keykubat Mh. Ahmet Gazi Ayhan Bulvarý,Kayseri,MELIKGAZI,38.736837,35.417202,Magaza
A4085,Bozantý  Kayseri,Mimarsinan Mahallesi Bozantý Cad. ,Kayseri,KOCASINAN,38.737044,35.507863,Magaza
A5218,Aydede Kayseri,Kocatepe Mh. 650. Sokak (3025. Sokak)N:16/A NN:,Kayseri,MELIKGAZI,38.737086,35.39222,Magaza
E614,Günsazak Merkez Afyonkarahisar,Kanlýca Mh. 9 252. SokakN:9N:,Afyonkarahisar,MERKEZ,38.73748,30.548919,Magaza
A3950,19 Mayýs Melikgazi Kayseri  ,19 Mayýs Mahallesi Þehit Taha N:196/AN:196/AN:196/AN:196/A,Kayseri,MELIKGAZI,38.737824,35.381544,Magaza
