CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
C599,Çamaltý Yayladaðý Hatay,Çamaltý Mh. 01 T. Atmaca SokakN:77N:N:N:N:N:N:77,Hatay,YAYLADAÐI,35.900689,36.064867,Magaza
J184,Yalý Evleri Anamur Mersin,Yalýevleri Mh. 27. Cadde No:172N:N:172N:172N:17N:172,Içel,ANAMUR,36.059646,32.848873,Magaza
C015,Yeni Sahil Anamur Mersin,Saðlýk Mh. 2N:83N:83N:83N:83,Içel,ANAMUR,36.060129,32.848644,Magaza
E928,Tekebaþý Samandað Hatay,Tekebaþý Mh. 144 148. SokakN:144N:144N:,Hatay,SAMANDAÐ,36.063239,35.988918,Magaza
A0423,19 Mayýs Anamur Mersin,Güzelyurt Mh. 22 19 Mayýs Cd.N:N:N:22N:1,Içel,ANAMUR,36.069431,32.836358,Magaza
A8240,Ören Anamur Mersin,Ören Mah. Cumhuriyet Cad.No:10 Z1-Z4  Anamur / MERSÝNN:10N:10N:N:10,Içel,ANAMUR,36.069597,32.836318,Magaza
A6820,Ýskele Anamur Mersin,Yalýevleri Mah Mareþal Fevzi Çakmak Cd No:184 AnamurN:N:N:184N:184N:184,Içel,ANAMUR,36.070863,32.864744,Magaza
H539,Sanayi Anamur Mersin,Bahçelievler Mh. Mersin - Antalya Yolu No:6N:33N:N:33,Içel,ANAMUR,36.071755,32.861703,Magaza
H352,Terminal Anamur Mersin,Yeþilyurt Mh. 3. Cadde No:2N:60N:60N:60N:60,Içel,ANAMUR,36.071932,32.834077,Magaza
A9608,Turgut Reis Anamur Mersin,Ýskele Mh. 1723. Sk.,Içel,ANAMUR,36.073543,32.868346,Magaza
B747,Çukur Abanoz Anamur Mersin,Çukurabanoz Mh. 17 Anamur Ermenek YoluN:N:,Içel,ANAMUR,36.073554,32.868423,Magaza
G251,Akarca Anamur Mersin Anamur Mersin,Sultan Alaaddin Mh. Ahmet Taner Kýþlalý Caddesi (AkdN:69,Içel,ANAMUR,36.074457,32.81877,Magaza
A2768,Kýbrýs Anamur Mersin,Yeþilyurt Mah.Kýbrýs Cad. N:31N:31N:31,Içel,ANAMUR,36.074664,32.834884,Magaza
A6347,Göktaþ Anamur Mersin,Göktaþ Mah.Akdeniz Cad.Seymenler Ap N:77N:77N:77,Içel,ANAMUR,36.079082,32.830313,Magaza
H136,Çarþý Anamur Mersin,Saray Mh. Atatürk Bulvarý No:1N:1N:1N:1,Içel,ANAMUR,36.079087,32.830357,Magaza
G351,Aþýk Veysel Anamur Mersin,Bahçelievler Mh. Aþýk Veysel Caddesi No:15N:15N:1N:15,Içel,ANAMUR,36.079096,32.830277,Magaza
G542,Güleryüz Anamur Mersin,Saray Mh. 615. Sokak No:1AN:2N:2N:2,Içel,ANAMUR,36.079096,32.830364,Magaza
A8239,Ýtfaiye Anamur Mersin,Akdeniz Mah. Dr. Fazýl Küçük Cad. 39. Sokak No:5 28 Nolu dükkan  AN:5,Içel,ANAMUR,36.079154,32.830309,Magaza
B784,Tahsin Soylu Anamur Mersin,Saðlýk Mh. 6N:6,Içel,ANAMUR,36.08057,32.840476,Magaza
J154,Sutaþý Samandað Hatay,Sutaþý Mh. Ahmet Taner Kýþlalý Caddesi No:1N:,Hatay,SAMANDAÐ,36.08091,35.998574,Magaza
I818,Hýzýr Samandað Hatay,Deniz Mh. Mehmet Aslan CaddesiN:286N:286N:286,Hatay,SAMANDAÐ,36.081511,35.947238,Magaza
A6517,Belediye Samandað Hatay,Cumhuriyet Mh.Atatürk Cd. No:43,Hatay,SAMANDAÐ,36.082171,35.983915,Magaza
J935,Askeriye Anamur Mersin,Yalýevleri Mh. Adnan Menderes Caddesi No:1N:1N:1,Içel,ANAMUR,36.082857,32.833427,Magaza
A6484,Samandað Samandað Hatay,Atatürk Mh.Sivas Þehitleri Cd. No:31N:31N:31,Hatay,SAMANDAÐ,36.084452,35.977626,Magaza
F931,Deniz Yolu Samandað Hatay,Deniz Mh. Mehmet Aslan Caddesi No:1N:46/AN:46/A,Hatay,SAMANDAÐ,36.084511,35.964936,Magaza
D249,Þimþek Anamur Mersin,Göktaþ Mh. - Anamur Ermenek YoluN:1N:1,Içel,ANAMUR,36.084899,32.842725,Magaza
K099,Vakýf Anamur Mersin,Saray Mh. 601. Sokak No:7N:7N:7N:7,Içel,ANAMUR,36.085035,32.842645,Magaza
H593,Ahmet Yesevi Samandað Hatay,General Þükrü Kanadlý Mh. Ahmet Yesevi Caddesi No:18/A,Hatay,SAMANDAÐ,36.085999,35.978448,Magaza
D155,Cemal Gürsel Samandað Hatay,General Þükrü Kanadlý Mh. Ecevit CaddesiN:10,Hatay,SAMANDAÐ,36.088804,35.97671,Magaza
K040,Kuþalaný Samandað Hatay,Kuþalaný Mh. 204. Sokak No:1N:1,Hatay,SAMANDAÐ,36.099997,36.014,Magaza
A2482,Bozyazý Mersin,Merkez Mah.Mustafa Deniz Cad. N:6N:6N:6N:6N:6N:6N:6N:6N:6N:6,Içel,BOZYAZI,36.101681,32.973916,Magaza
J963,Murat Namdar Bozyazý Mersin,Merkez Mh. Hilmi Ergenekon Caddesi No:226/AN:22,Içel,BOZYAZI,36.103688,32.970655,Magaza
B586,Çubukkoyaðý Bozyazý Mersin,Merkez Mh. 1 Mersin Antalya YoluN:1N:1N:N:NN:1,Içel,BOZYAZI,36.103702,32.991733,Magaza
H977,Denizciler Bozyazý Mersin,Beyreli Mh. 301. Sokak No:2/15N:2/15N:2/15N:N:2,Içel,BOZYAZI,36.104565,32.951925,Magaza
A9526,Merkez Bozyazý Bozyazý Mersin,Merkez Mh. Hilmi Ergenekon CaddesiN:49N:49/N:49,Içel,BOZYAZI,36.104629,32.967533,Magaza
A0833,Gözce Bozyazý Mersin,Gözce Mh. 1-2-3 Mersin Antalya YoluN:18N:1N:18,Içel,BOZYAZI,36.10482,32.967554,Magaza
H314,Doktor Özmumcu Bozyazý Mersin,Merkez Mh. Dr. Özmumcu Sokak No:14N:4/14N:4N:4,Içel,BOZYAZI,36.104874,32.984754,Magaza
A8523,Altýnözü Hatay,Yeniþehir Mh. Hýzarlar Sk.N:N:N:N:1N:1N:1,Hatay,ALTINÖZÜ,36.113868,36.248776,Magaza
H902,Tekmen Bozyazý Mersin,Tekmen Mh. Mersin Antalya Yolu No:53N:53N:5N:53,Içel,BOZYAZI,36.122268,33.103859,Magaza
C975,Çevlik Samandað Hatay,Çamlýyayla Mh. 01N:1N:1,Hatay,SAMANDAÐ,36.125761,35.91891,Magaza
J177,Hidro Defne Hatay,Harbiye Mh. Ürgen Caddesi No:41N:41N:41N:41NN:41,Hatay,DEFNE,36.131087,36.139692,Magaza
A0953,Yayladaðý Hatay,Çamaltý Mh. 215 PTT Sk.N:215/19N:215N:215N:NN:215,Hatay,YAYLADAÐI,36.131192,36.139798,Magaza
G465,Þelale Defne Hatay,Harbiye Mh. Antakya Yayladaðý Yolu No:2N:347/2,Hatay,DEFNE,36.132792,36.143881,Magaza
A6043,Tekeli Bozyazý Mersin,Merkez Mah.Silifke-Antalya Cad.No:1 N:159N:159N:159N:159N:159N:159N:N:159,Içel,BOZYAZI,36.13459,33.129654,Magaza
J797,Uzunbað Samandað Hatay,Uzunbað Mh. Tomruksuyu Köyü Yolu No:110/AN:1N:,Hatay,SAMANDAÐ,36.140607,36.048951,Magaza
J407,Harbiye Defne Hatay,Harbiye Mh. Antakya Yayladaðý Yolu (Atatürk N:3,Hatay,DEFNE,36.141655,36.141437,Magaza
A0874,Yurt Aydýncýk Mersin,Merkez Mh. 12 Yurt Sk.N:12N:12N:12N:12N:12NN:12,Içel,AYDINCIK,36.143969,33.321424,Magaza
J668,Gümüþgöze Defne Hatay,Gümüþgöze Mh. Atatürk Caddesi No:45/A-B-CN:N:4N:45/A,Hatay,DEFNE,36.149461,36.130516,Magaza
E221,Yeþilovacýk Silifke Mersin,Yeþilovacýk Mh. 150/17 Yeþilovacýk Köyü YoluN:15N:150,Içel,SILIFKE,36.150375,33.384555,Magaza
I870,Mirza Bey Mut Mersin,Doðancý Mh. Mirzabey Caddesi No:1N:1N:1N:1N:1,Içel,MUT,36.152478,33.336005,Magaza
A4510,Karþýyaka Mut Mersin,Karþýyaka Mah. Karaman Cad. No:3 N:3N:3N:3N:3N:3N:3,Içel,MUT,36.152486,33.335978,Magaza
A2960,Gülnar Mersin,Ayvalý Mah. Ankara Cad. N:25N:25N:25,Içel,GÜLNAR,36.152491,33.335985,Magaza
A8011,Doðancý Mut Mersin,Doðancý Mah. Ýnönü Cad. No:39N:39N:39N:39,Içel,MUT,36.152499,33.335969,Magaza
A9242,Pýnarbaþý Mut Mersin,Meydan Mh. Hilmi Aydýn Cd.N:11N:11N:11,Içel,MUT,36.152503,33.33592,Magaza
A2938,Aydýncýk Mersin,Cumhuriyet Mah Tatlýsu Mevkii N:2-3-4N:2-3-4N:2-3-4N:2-3-4-N:2N:2,Içel,AYDINCIK,36.15251,33.33599,Magaza
A9537,Pazaryeri Gülnar Mersin,Akdeniz Mh. Gülnar Silifke YoluN:26N:26N:26,Içel,GÜLNAR,36.152928,33.335811,Magaza
A9607,Deniz Aydýncýk Mersin,Hürriyet Mh. Sahil Sk.N:87N:87N:87N:87N:87N:8N:87,Içel,AYDINCIK,36.153175,33.356688,Magaza
I724,Tomruksuyu Samandað Hatay,Tomruksuyu Mh. Tomruksuyu Köyü Yolu No:1N:N:N:NN:1,Hatay,SAMANDAÐ,36.15511,36.050631,Magaza
C783,Büyükeceli Gülnar Mersin,Büyükeceli Mh. 74N:74N:74N:74N:74N:74N:74N:74N:N:,Içel,GÜLNAR,36.158413,33.573941,Magaza
J727,Koçören Defne Hatay,Meydancýk Mh. Aþaðý Koçören Sokak No:1N:1N:1N:N:1,Hatay,DEFNE,36.163109,36.100379,Magaza
F858,Akkuyu Gülnar Gülnar Mersin,Büyükeceli Mh. Mersin Antalya Yolu No:24N:23-24N:23,Içel,GÜLNAR,36.167761,33.561435,Magaza
F655,Arda Park Defne Hatay,Sümerler Mh. Antakya Yayladaðý Yolu (Atatürk N:1,Hatay,DEFNE,36.168768,36.140995,Magaza
J239,Güneysöðüt Defne Hatay,Güneysöðüt Mh. Antakya Samandað Yolu No:52N:N:NN:1,Hatay,DEFNE,36.177365,36.116173,Magaza
C738,Okçular Defne Hatay,Sümerler Mh. 2 Atatürk BulvarýN:2/1N:2/1N:2/1N:,Hatay,DEFNE,36.183357,36.148538,Magaza
I099,Subaþý Defne Hatay,Subaþý Mh. Antakya Samandað Yolu No:No:205CN:205,Hatay,DEFNE,36.18494,36.119534,Magaza
I522,Zerda Deniz Defne Hatay,Gazi Mh. 19. Sokak No:95/BN:N:N:N:N:95/BNN:95/B,Hatay,DEFNE,36.191856,36.130963,Magaza
J425,3 Cadde Defne Hatay,Subaþý Mh. Ýsimsiz Yol No:23/67N:23/67N:23/N:23/67,Hatay,DEFNE,36.194268,36.122672,Magaza
F553,Lodos Silifke Mersin,Yeþilovacýk Mh.  No:14N:14/6-7N:14N:14N:14N:14N:N:14,Içel,SILIFKE,36.195804,33.651567,Magaza
A7138,Çerçiler Kaþ ANTALYA,Andifli Mah Eski Antalya Cad No:109 1 nolu dükkanN:109N:109N:N:,Antalya,KAÞ,36.198935,29.652676,Magaza
I128,Orhanlý Defne Hatay,Turunçlu Mh. Muammer Aksoy Caddesi No:1N:1N:1N:,Hatay,DEFNE,36.199018,36.122525,Magaza
G655,Sümerler Defne Hatay,Sümerler Mh. 11/1. Sokak No:2N:2N:2N:2N:2N:2NN:2,Hatay,DEFNE,36.20059,36.141485,Magaza
D056,Andifli Mh Kaþ Antalya,Andifli Mh. 105 Eski Antalya CaddesiN:105N:1N:105,Antalya,KAÞ,36.200672,29.651286,Magaza
A1340,Kaþ Antalya,Çukurbaðlý Mah.Çukurbaðlý Cad. N:1N:1N:1N:1N:1N:1N:1N:1N:1,Antalya,KAÞ,36.201746,29.640238,Magaza
A0664,Atatürk Bulvarý Kaþ Antalya,Andifli Mh. 1N:58N:58N:58N:58N:58N:58N:58N:5N:,Antalya,KAÞ,36.204217,29.637673,Magaza
J836,Ýl Saðlýk Antakya Hatay,Altýnçay Mh. 120/2. Sokak No:1N:1N:N:N:1N:1N:N:1,Hatay,ANTAKYA,36.206054,36.132687,Magaza
H217,Bohþin Antakya Hatay,Bohþin Mh. Hacýpaþa Yolu No:149/2N:149/2N:149/2,Hatay,ANTAKYA,36.207732,36.361632,Magaza
F497,Alpagot Antakya Hatay,Hacý Ömer Alpagot Mh. Süreyya Halefoðlu Caddesi No:48/N:48,Hatay,ANTAKYA,36.209259,36.173245,Magaza
J160,Ballýöz Defne Hatay,Ballýöz Mh. Kýrsal 1. Yol No:321N:321N:321N:N:321,Hatay,DEFNE,36.209727,36.12099,Magaza
J965,Aksaray Antakya Hatay,Saraykent Mh. 75. Yýl Bulvarý No:1N:N:N:1N:1N:1,Hatay,ANTAKYA,36.213708,36.140309,Magaza
I765,Fatma Hamaþoðlu Antakya Hatay,Küçükdalyan Mh. Antakya Reyhanlý Caddesi (CumhurN:71,Hatay,ANTAKYA,36.215111,36.179675,Magaza
J048,Ýbrahim Kartal Antakya Hatay,Saraycýk Mh. 81. Sokak No:1N:1N:1,Hatay,ANTAKYA,36.22387,36.128138,Magaza
C911,Akçay Antakya Hatay,Aksaray Mh. 2N:2/17N:2/17N:2/17N:2/17N:2/17NN:2/17,Hatay,ANTAKYA,36.225711,36.140338,Magaza
J101,Emre Keleþ Antakya Hatay,Aksaray Mh. Þükrü Balcý Caddesi No:1,Hatay,ANTAKYA,36.226757,36.13922,Magaza
J435,Esentepe Antakya Hatay,Esentepe Mh. Mahmut Alpagot Bulvarý No:20N:20N:20,Hatay,ANTAKYA,36.227142,36.138925,Magaza
H280,Narlýca Antakya Hatay,Maþuklu Mh. Antakya Reyhanlý Caddesi (CumhurN:134/1,Hatay,ANTAKYA,36.228893,36.197759,Magaza
K346,Karlýsu Antakya Hatay,Saraycýk Mh. Þükrü Balcý Caddesi No:9,Hatay,ANTAKYA,36.233867,36.134199,Magaza
G075,Yeþilkent Defne Hatay,Çekmece Mh. Çekmece Caddesi No:36N:36N:36N:3N:36,Hatay,DEFNE,36.234029,36.134216,Magaza
G385,Çevreyolu Defne Hatay,Ballýöz Mh. Çekmece Caddesi No:2N:N:N:N:2N:2N:2,Hatay,DEFNE,36.234029,36.134216,Magaza
I910,Abdullah Kaplan Antakya Hatay,Akasya Mh. 81. Sokak No:2N:N:N:N:N:2N:2N:2NN:2,Hatay,ANTAKYA,36.234029,36.134216,Magaza
J426,Çekmece Defne Hatay,Çekmece Mh. Çekmece Caddesi No:1N:1N:1N:1N:1N:1,Hatay,DEFNE,36.234029,36.134216,Magaza
J609,Maþuklu Antakya Hatay,Güzelburç Mh. Ceviz Sokak No:42N:42N:N:42N:42NN:42,Hatay,ANTAKYA,36.234225,36.195304,Magaza
J404,Uydukent Antakya Hatay,Alaattin Mh. Hatay Devlet Hastanesi yolu No:1N:1,Hatay,ANTAKYA,36.238635,36.219636,Magaza
H883,Tokdemir Antakya Hatay,Narlýca Mh. Narlýca Köyü Yolu No:302/1N:302/N:302/1,Hatay,ANTAKYA,36.238713,36.219682,Magaza
K078,600 Konutlar Antakya Hatay,Þirince Mh. Hatay Küçük Sanayi Sitesi No:22NN:22,Hatay,ANTAKYA,36.239423,36.173975,Magaza
J035,Sevda Filiz Antakya Hatay,Ekinci Mh. Atatürk Caddesi No:1N:N:N:1N:1N:N:1,Hatay,ANTAKYA,36.24071,36.142354,Magaza
C005,Hükümet Konaðý Demre Antalya,Karabucak Mh. Çevre Yolu CaddesiN:15/A-BN:15N:N:15,Antalya,DEMRE,36.240949,29.975929,Magaza
G336,Eynihal Cd Demre Antalya,Gökyazý Mh. Ýsimsiz Yol No:12/A-C-K-J-IN:12/N:12,Antalya,DEMRE,36.240985,29.983989,Magaza
J381,Pervin Kurtoðlu Antakya Hatay,Odabaþý Mh. Ezer Sokak No:1N:1N:1N:1N:1N:1N:N:1,Hatay,ANTAKYA,36.241286,36.163605,Magaza
A7569,Gökyazý Demre Antaly,Gökyazý Mah.Noel Baba Cd.Gümrü Apt No:19 A-B-C-D dükkanlar Demre ANN:19,Antalya,DEMRE,36.241548,29.986164,Magaza
J356,Küçükdalyan Antakya Hatay,Küçükdalyan Mh. Anýtlar Caddesi No:6N:6N:6,Hatay,ANTAKYA,36.241787,36.181184,Magaza
G900,Devlet Hastanesi Reyhanlý Hatay,Baðlar Mh. 221. Sokak No:82/25N:82/25N:82/2N:82/25,Hatay,REYHANLI,36.242208,36.561923,Magaza
J462,Odabaþý Antakya Hatay,Odabaþý Mh. Gülderen Caddesi No:1N:1N:1N:1N:N:1,Hatay,ANTAKYA,36.243205,36.155036,Magaza
A1902,Demre Antalya,Gökyazý Mah. Ýlkokul Cad.1.Sok. N:1N:1N:,Antalya,DEMRE,36.243574,29.986666,Magaza
C472,Belediye Demre Demre Antalya,Gökyazý Mh. 22/A-B Mustafa Masatlý CaddesiN:N:22,Antalya,DEMRE,36.244405,29.988742,Magaza
I192,Gülderen Antakya Hatay,Ekinci Mh. Atatürk Caddesi No:11N:1N:1N:1N:N:,Hatay,ANTAKYA,36.246234,36.153135,Magaza
J396,Yeni Mahalle Reyhanlý Hatay,Yeni Mh. 148. Sokak No:2N:2N:2N:2N:2N:2N:N:2,Hatay,REYHANLI,36.24703,36.566466,Magaza
I463,Gülten Cingöz Antakya Hatay,Þirince Mh. Atatürk Caddesi No:38N:38N:38N:NN:38,Hatay,ANTAKYA,36.247758,36.175593,Magaza
E932,Kurtulan Reyhanlý Hatay,Baðlar Mh. 26 299. SokakN:26N:N:26N:26,Hatay,REYHANLI,36.24843,36.573325,Magaza
C266,Atatürk Caddesi Reyhanlý Hatay,Baðlar Mh. 01 Atatürk CaddesiN:247N:247,Hatay,REYHANLI,36.248747,36.570514,Magaza
J786,Üzümdalý Antakya Hatay,Üzümdalý Mh. Üzümdalý Köyü Yolu No:51N:1N:1N:N:1,Hatay,ANTAKYA,36.251361,36.278775,Magaza
A0847,Mehmet Akif Ersoy Reyhanlý Hatay,Yeni Mh. 1h-1g-1ý 133. Sk.N:3/BN:42N:42N:N:42,Hatay,REYHANLI,36.254441,36.566686,Magaza
I358,Kuzeytepe Antakya Hatay,Kuzeytepe Mh. Çevre Yolu No:1,Hatay,ANTAKYA,36.256403,36.172437,Magaza
K129,Myra Demre Antalya,Alakent Mh. Ýlkokul Caddesi (Alakent Caddesi) No:1-2,Antalya,DEMRE,36.257612,29.98915,Magaza
C886,Ýstiklal Caddesi Reyhanlý Hatay,Yeni Mh. 01N:4N:N:4N:4N:4,Hatay,REYHANLI,36.259916,36.563317,Magaza
A7664,Ulusal Egemenlik Gazipaþa Antalya,Yeni Mah. Ulusal Egemenlik Bulvarý 64/1-2 Nolu Dükkanlar,Antalya,GAZIPAÞA,36.264501,32.318782,Magaza
D901,Pazarcý Mah Gazipaþa Antalya,Yeni Mh. 1 Ýnönü Caddesi,Antalya,GAZIPAÞA,36.265951,32.295695,Magaza
A8294,Uður Mumcu Gazipaþa Antalya,Pazarcý mah.Uður Mumcu Cad.Asrýn 1 1 Apt. no:189 / 1-2 Gazipaþa / AN:189/1,Antalya,GAZIPAÞA,36.266145,32.300958,Magaza
A2890,Kalkan Kaþ Antalya,Menteþe mah. Þehitler Cad. N:31/AN:31/AN:31/AN:31/AN:31/AN:N:,Antalya,KAÞ,36.266859,29.413294,Magaza
H094,Adnan Göçer Reyhanlý Hatay,Esentepe Mh. Þehit Adnan Göçer Bulvarý No:1-2N:1-2,Hatay,REYHANLI,36.268155,36.578804,Magaza
A2080,Gazipaþa Antalya,Ýstiklal mah.Pazaryeri Cad. ,Antalya,GAZIPAÞA,36.269385,32.319633,Magaza
E104,Gökçen Gazipaþa Antalya,Ýstiklal Mh. N:17/1-2,Antalya,GAZIPAÞA,36.271265,32.321777,Magaza
G665,Adabucak Reyhanlý Hatay,Mustafa Kemal Mh. Nuri Güneþ Caddesi No:1N:1N:1,Hatay,REYHANLI,36.272859,36.56512,Magaza
A8770,Akasya Kalkan Kaþ Antalya,Kalkan Mh. Yayla Cd.N:8N:8N:8N:8N:8N:8N:8N:N:,Antalya,KAÞ,36.273496,29.411651,Magaza
G942,Halk Eðitim Gazipaþa Antalya,Gazi Mh. Mersin - Antalya Yolu No:121A,Antalya,GAZIPAÞA,36.273861,32.308789,Magaza
C809,Karaöz Kumluca Antalya,Mavikent Mh. 11/1 Karaöz CaddesiN:11/1N:11/1N:11,Antalya,KUMLUCA,36.277592,30.407499,Magaza
J892,Akbel Kalkan Kaþ Antalya,Kalkan Mh. Yayla Caddesi No:476N:476,Antalya,KAÞ,36.279197,29.409631,Magaza
B482,Yeþilköy Kaþ Antalya,Yeþilköy Mh. 1 Hayýtlý Cd.,Antalya,KAÞ,36.283561,29.372601,Magaza
D755,Ýslamlar Kaþ Antalya,Kalkan Mh. 1 Antalya-Fethiye YoluN:1,Antalya,KAÞ,36.283601,29.407508,Magaza
J670,Karaali Antakya Hatay,Kuzeytepe Mh. Alayazý Köyü Yolu No:1N:N:N:N:N:N:1,Hatay,ANTAKYA,36.288068,36.191229,Magaza
I002,Hayýtlý Caddesi Kaþ Antalya,Yeþilköy Mh. Üzümlü Köyü Yolu No:54N:54N:54N:N:54,Antalya,KAÞ,36.289158,29.37055,Magaza
A1871,Finike Antalya,Yeni Mah.504 Sok. N:9,Antalya,FINIKE,36.300409,30.146486,Magaza
E974,Meteoroloji Finike Antalya,Yeni Mh. 1 507. SokakN:7N:7N:7,Antalya,FINIKE,36.30294,30.146972,Magaza
A0594,Fatih Bulvarý Finike Antalya,Yeni Mh. Fatih BulvarýN:23/D,Antalya,FINIKE,36.305839,30.142788,Magaza
H600,Evren Caddesi Finike Antalya,Kum Mh. Akdeniz Bulvarý No:2N:2N:2N:2N:2N:2,Antalya,FINIKE,36.309073,30.161349,Magaza
J150,Yalý Mavikent Kumluca Antalya,Mavikent Mh. Oktarlar Sokak No:16/B,Antalya,KUMLUCA,36.30967,30.354075,Magaza
G664,Derince Antakya Hatay,Akhisar Mh. Derince Sokak (Kýrsal Yol) No:1NN:1,Hatay,ANTAKYA,36.309845,36.195403,Magaza
G883,Kum Mh Finike Antalya,Turunçova Mh. Sarýsu Caddesi No:28/AB-BB-C,Antalya,FINIKE,36.311144,30.153259,Magaza
D601,Sahil Finike Antalya,Saklýsu Mh. 1 103. SokakN:158N:158,Antalya,FINIKE,36.313987,30.176324,Magaza
B732,Kum Silifke Mersin,Taþucu Mh. 1,Içel,SILIFKE,36.314034,33.906956,Magaza
J149,Saklýsu Finike Antalya,Turunçova Mh. Elmalý Finike Yolu No:35/E-FN:N:,Antalya,FINIKE,36.314155,30.159921,Magaza
C134,Ova Kaþ Antalya Kaþ Antalya,Ova Mh. 163 Atatürk Blv.(Antalya FethiyeN:163,Antalya,KAÞ,36.315986,29.331635,Magaza
A3040,Taþucu Mersin ,Taþucu Mh. Ýsmet Ýnönü CaddesiN:14,Içel,SILIFKE,36.319533,33.880135,Magaza
A9610,27 Mayýs Silifke Mersin,Taþucu Mh. Mersin Antalya Yolu,Içel,SILIFKE,36.319815,33.879851,Magaza
K374,Þehit Rasim Uygun Silifke Mersin,Taþucu Mh. 51. Sokak No:5N:5,Içel,SILIFKE,36.323238,33.88111,Magaza
H672,Fevzi Paþa Taþucu Silifke Mersin,Taþucu Mh. 63. Sokak No:11,Içel,SILIFKE,36.323307,33.882076,Magaza
H975,Çakmak Adrasan Kumluca Antalya,Adrasan Mh. Deniz Caddesi No:82/4N:82N:82N:NN:82,Antalya,KUMLUCA,36.32852,30.446234,Magaza
G228,Taþucu Toki Silifke Mersin,Taþucu Mh. 82. Sokak No:6,Içel,SILIFKE,36.329525,33.882908,Magaza
F532,Yunus Emre Camii Finike Antalya,Yeþilyurt Mh. Atatürk Caddesi No:1N:4,Antalya,FINIKE,36.331406,30.130466,Magaza
I263,Köþklü Kavak Finike Antalya,Yeþilyurt Mh. Eski Elmalý Finike Yolu No:118N:N:118,Antalya,FINIKE,36.331631,30.130306,Magaza
G107,Zülüflühan Antakya Hatay,Anayazý Mh. Hatay Caddesi (Atatürk Caddesi) N:,Hatay,ANTAKYA,36.331761,36.199628,Magaza
A6441,Serinyol Antakya Hatay,Zülfühan Köyü Yeni Mah.Üniver.Ev. Blok No:176 Zemin Kat Dükkan No:N:2-3,Hatay,ANTAKYA,36.334818,36.200181,Magaza
A8913,Adrasan Kumluca Antalya,Adrasan Mh. N:47N:47N:47N:47N:47N:47N:N:47N:47,Antalya,KUMLUCA,36.335274,30.434425,Magaza
A9836,Kumluova Seydikemer Muðla,Kumluova Mh. Yusuf Karaca Sk.,Mugla,SEYDIKEMER,36.336086,29.300408,Magaza
E404,Ýnci Sitesi Antakya Hatay,Anayazý Mh. 19AN:19AN:19AN:19AN:N:N:19A,Hatay,ANTAKYA,36.337509,36.205461,Magaza
C103,Üniversite Antakya Hatay,Anayazý Mh. 1 Hatay Cd.N:30N:30N:N:N:N:N:30N:30,Hatay,ANTAKYA,36.337556,36.205453,Magaza
A5009,Hasyurt Finike Antalya,Burunucu Mah. Hal Cad. ,Antalya,FINIKE,36.338342,30.213014,Magaza
G961,Karadere Mah Seydikemer Muðla,Karadere Mh. Cumhuriyet Caddesi No:48/1A,Mugla,SEYDIKEMER,36.339359,29.262022,Magaza
J049,Leton Seydikemer Muðla,Karadere Mh. Cumhuriyet Caddesi No:6A-6B-6C,Mugla,SEYDIKEMER,36.344887,29.270576,Magaza
C322,Pazaryeri Kýnýk Kaþ Antalya,Kýnýk Mh. 10 a-b-c Atatürk BulvarýN:10N:10N:,Antalya,KAÞ,36.350493,29.319952,Magaza
A4584,Turunçova Finike Antalya,Demircilik Mah. Ýnönü Cad. ,Antalya,FINIKE,36.351729,30.133122,Magaza
H562,Konacýk Arsuz Hatay,Konacýk Mh. Konacýk Köyü Yolu No:369/1B,Hatay,ARSUZ,36.352795,35.825878,Magaza
A0800,Ata Antakya Hatay,Serinyol Mh. 97/1-b Hatay Cd.N:1-BN:1-BN:1-BN:,Hatay,ANTAKYA,36.358548,36.210353,Magaza
G444,50 Yýl Kumluca Antalya,Meydan Mh. 50. Yýl Caddesi No:42,Antalya,KUMLUCA,36.360457,30.284926,Magaza
F942,Ilýca Kumluca Antalya,Yeni Mh. Ilýca Sokak (Mimar Sinan Caddesi) No:75/,Antalya,KUMLUCA,36.360889,30.283159,Magaza
G246,Sencari Caddesi Antakya Hatay,Serinyol Mh. Atatürk Caddesi No:64N:,Hatay,ANTAKYA,36.361504,36.213811,Magaza
F779,Sarýkavak Kumluca Antalya,Karþýyaka Mh. Beykonak Caddesi No:1,Antalya,KUMLUCA,36.36229,30.300885,Magaza
A3648,Denizyolu Kumluca Antalya,Yeni Mahalle Ahmet Ali Aða Bulv. ,Antalya,KUMLUCA,36.363935,30.285029,Magaza
D072,Defne Cd Kumluca Antalya,Eskicami Mh. 32BN:30,Antalya,KUMLUCA,36.364213,30.286351,Magaza
J685,Þevket Çalýþkan Kýrýkhan Hatay,Yeni Mh. Dede Korkut Sokak No:39N:39N:39NN:,Hatay,KIRIKHAN,36.366243,36.4476,Magaza
A1417,Kumluca Antalya,Narenciye Mah. Hastane Cad. ,Antalya,KUMLUCA,36.366326,30.289628,Magaza
J640,Kýzýlay Kumluca Antalya,Yeni Mh. Hasan Tuna Caddesi No:4N:4N:4N:NN:4,Antalya,KUMLUCA,36.367148,30.282671,Magaza
A4513,Çavdýr Kaþ Antalya,Çavdýr Köyü Merkez Mevkii Ada No150 N:1N:1N:1N:N:1N:1N:1,Antalya,KAÞ,36.367407,29.352878,Magaza
